"termine_inglese","italiano_preferito","dominio","trattamento","nota"
"strongarm work","lavoro che richiede le maniere forti","dialoghi e incarichi","tradurre","Incarico basato su intimidazione o violenza"
"cut-rate outfit","società di quarta categoria","dialoghi e sicurezza","tradurre","Organizzazione economica e poco affidabile nel parlato di Miles"
"forced extraction","estrazione forzata","missioni di soccorso","tradurre","Liberazione armata di una persona trattenuta contro la propria volontà"
"High Value Target","bersaglio di alto valore","combattimento e taglie","tradurre","Bersaglio prioritario con rilevanza operativa elevata"
"bagman","corriere","dialoghi criminali e logistica","tradurre","Intermediario incaricato di eseguire materialmente uno scambio"
"dead drop","punto di scambio clandestino","contrabbando e logistica","tradurre","Luogo nascosto usato per depositare o ritirare merce senza incontro diretto"
"Casell","Casell","luoghi e lore","mantenere","Nome proprio canonico citato da Miles Eckhart; conservarlo per coerenza con mappe e lore"
"mobi","mobiGlas","dialoghi e interfaccia","normalizzare","Forma abbreviata colloquiale ricondotta al nome canonico del dispositivo"
"Luca Brunt","Luca Brunt","personaggi e lore","mantenere","Nome proprio canonico dell'allibratore legato alle gare; non tradurre"
"run the book","gestire le scommesse","gare e scommesse","tradurre","Gestione delle puntate e delle quote su una competizione"
"betting spread","quote delle scommesse","gare e scommesse","tradurre","Quadro delle quote determinato dopo l'iscrizione dei piloti"
"RamtonRoll","RamtonRoll","gare e lore","mantenere","Nome canonico di una manovra con esito truccato; non tradurre"
"cover the spread","far quadrare le quote","gare e scommesse","tradurre","Ottenere il piazzamento necessario affinché le quote risultino favorevoli all'allibratore"
"vig","commissione","gare e scommesse","tradurre","Margine o quota trattenuta dall'allibratore sulle puntate"
"posito","posito","dialoghi di Wallace Klim","mantenere","Appellativo idiosincratico usato da Wallace; conservarlo perché privo di equivalente attestato"
"Kel-To Rx","Kel-To Rx","sanità e lore","mantenere","Nome canonico della catena di cliniche e farmacie; conservarne grafia e maiuscole"
"hydro-froz","hydro-froz","consumabili e lore","mantenere","Nome commerciale canonico della bevanda ghiacciata venduta da Kel-To"
"self-check in terminal","terminale di accettazione automatica","sanità e interfaccia","tradurre","Postazione che consente al paziente di registrarsi autonomamente"
"Med Tech","personale sanitario","sanità e dialoghi","tradurre","Ruolo clinico reso in forma collettiva quando il genere dell'operatore non è specificato"
"Lab 2","Lab 2","luoghi e orientamento","mantenere","Identificatore visibile di un ambiente ospedaliero; conservarlo per orientamento e coerenza con la segnaletica"
"RN Ashcroft","RN Ashcroft","personaggi e lore","mantenere","Identificatore completo usato nella chiamata ospedaliera; evita di attribuire un genere non attestato"
"Lorville Landing Services","Servizi di Atterraggio di Lorville","volo e servizi","tradurre","Denominazione funzionale resa in italiano mantenendo Lorville come nome canonico e le maiuscole da nome del servizio"
"landing assignment","postazione di atterraggio assegnata","volo e infrastrutture","tradurre","Spazio indicato dal controllo del traffico per l'atterraggio del veicolo"
"flight lane","corridoio di volo","volo e sicurezza","tradurre","Corridoio attivo riservato al traffico dei veicoli"
"Resource Manager","responsabile delle risorse","Hurston e occupazione","tradurre","Ruolo aziendale incaricato di promuovere le opportunità di lavoro Hurston"
"Traffic Safety Bureau","Traffic Safety Bureau","organizzazioni e lore","mantenere","Nome proprio canonico dell'ente che definisce i protocolli di sicurezza del traffico"
"No Fly Zone","No Fly Zone","volo e orientamento","mantenere","Termine operativo riconoscibile nelle guide e abbreviato NFZ nelle chiavi di gioco"
"Carver's Ridge","Carver's Ridge","luoghi e orientamento","mantenere","Nome canonico dell'avamposto di Pyro III; preservare apostrofo e maiuscole per mappe e guide"
"Carvers Ridge","Carver's Ridge","luoghi e orientamento","mantenere","Variante errata priva di apostrofo presente in alcuni titoli; normalizzare al nome canonico"
"The Golden Riviera","The Golden Riviera","luoghi e orientamento","mantenere","Nome canonico dell'avamposto di Pyro III; preservare articolo e maiuscole per mappe e guide"
"Eslin Macken","Eslin Macken","personaggi e lore","mantenere","Nome canonico del responsabile del traffico di ORIGIN-1 a Levski"
"ORIGIN-1","ORIGIN-1","luoghi e orientamento","mantenere","Nome canonico della zona di atterraggio di Levski gestita da Eslin Macken"
"Council","Consiglio","Levski e istituzioni","tradurre","Organo decisionale citato da Eslin; tradurre quando usato come nome istituzionale generico"
"Lora Macken","Lora Macken","personaggi e lore","mantenere","Nome canonico della responsabile di Liberty Maintenance; corregge il Laura presente in alcune battute sorgente"
"Liberty Maintenance","Liberty Maintenance","servizi e lore","mantenere","Nome canonico del servizio di manutenzione di Levski; nel parlato Eslin lo abbrevia in Liberty"
"Garage 1","Garage 1","luoghi e orientamento","mantenere","Le autorimesse numerate di Levski sono destinazioni specifiche; preservare Garage e il numero nelle indicazioni"
"occupado","occupado","dialoghi di Eslin Macken","mantenere","Pseudo-spagnolismo scherzoso usato da Eslin; conservarlo per caratterizzarne la parlata"
"Mercy Hospital","Mercy Hospital","luoghi e lore","mantenere","Nome canonico dell'ospedale comunitario di Levski; Mercy è la forma breve usata dal personale"
"RTA","RTA","sanità e procedure","mantenere","Sigla clinica non espansa nella sorgente; conservarla per evitare un'interpretazione non attestata"
"Code 171","Code 171","sanità e procedure","mantenere","Codice d'emergenza interno del Mercy; conservarne parola, numero e maiuscole"
"OR 3","OR 3","luoghi e orientamento","mantenere","Identificatore della sala operatoria citata negli annunci del Mercy"
"Emergency Bay C","Emergency Bay C","luoghi e orientamento","mantenere","Identificatore dell'area d'emergenza; conservarlo per coerenza con segnaletica e guide"
"Local 163","Local 163","organizzazioni e lore","mantenere","Forma breve usata nel parlato per il capitolo locale di Miners Amalgamated"
"Maria Pure of Heart Hospital","Maria Pure of Heart Hospital","luoghi e lore","mantenere","Nome canonico dell'ospedale Hurston di Lorville; conservarlo per segnaletica, mappe e guide"
"Dynamics of a Mindful Life","Dynamics of a Mindful Life","opere e lore","mantenere","Titolo canonico dell'opera attribuita a Maria Hurston; le citazioni contenute vengono tradotte"
"medical exemption form","modulo autorizzato di esenzione medica","sanità e occupazione","tradurre","Documento Hurston richiesto per dimostrare l'impossibilità di svolgere le proprie mansioni"
"Leave a lasting imprint","lascia un'impronta duratura","sanità e propaganda","tradurre","Slogan Hurston che gioca sull'impronta biologica usata nella rigenerazione"
"Too Many Stims Slows You Down","troppi stimolanti ti rallentano","sanità e propaganda","tradurre","Slogan aziendale contro l'abuso di stimolanti"
"Aster Remmington","Aster Remmington","personaggi e lore","mantenere","Nome completo canonico del rappresentante microTech soprannominato Remy"
"Remy","Remy","personaggi e lore","mantenere","Nome proprio ricorrente; può indicare Aster Remmington oppure il luogotenente dei Nine Tails Remy Kettle, secondo il contesto"
"regen crisis","crisi della rigenerazione","eventi e sanità","tradurre","Crisi di approvvigionamento legata alle risorse necessarie alla rigenerazione"
"resource collection contract","contratto di raccolta risorse","missioni e logistica","tradurre","Incarico microTech per reperire e consegnare risorse essenziali"
"closure percentage","percentuale di completamento","missioni e metriche","tradurre","Indicatore aziendale della quota di contratti portati a termine"
"key metrics","indicatori fondamentali","aziende e metriche","tradurre","Parametri prestazionali usati da microTech per valutare l'andamento dell'evento"
"deactivated contractor","collaboratore disattivato","aziende e contratti","tradurre","Collaboratore escluso dall'assegnazione di nuovi incarichi aziendali"
"collection bounty","taglia per il recupero","sicurezza e proprietà","tradurre","Taglia emessa per recuperare proprietà aziendali non restituite"
"warrant for its return","mandato per il recupero","sicurezza e proprietà","tradurre","Mandato emesso per ottenere la restituzione di beni aziendali"
"probationary basis","regime di prova","aziende e contratti","tradurre","Condizione temporanea concessa a un collaboratore dopo una serie di insuccessi"
"contractor of the month","premio mensile destinato ai collaboratori","aziende e riconoscimenti","tradurre","Riconoscimento microTech per prestazioni contrattuali eccezionali, reso senza attribuire genere al giocatore"
"recorded for quality reasons","registrata per finalità di controllo qualità","comunicazioni aziendali","tradurre","Clausola standard che informa della possibile registrazione della comunicazione"
"requisition request","richiesta di approvvigionamento","aziende e logistica","tradurre","Richiesta interna per reperire materiali o risorse necessarie"
"Preventative Facilitator","Facilitazione Preventiva","aziende e sicurezza","adattare","Eufemismo microTech per un incarico di scorta; reso come nome astratto per evitare genere e conservare il tono aziendale"
"delivery window","finestra di consegna","logistica e missioni","tradurre","Intervallo temporale entro cui una spedizione deve arrivare a destinazione"
"flagged profile","profilo segnalato","aziende e contratti","tradurre","Profilo contrattuale sottoposto a limitazioni nel sistema microTech"
"independent operator","operatore indipendente","aziende e contratti","tradurre","Professionista esterno che accetta incarichi per conto di microTech"
"corporate ethos","valori aziendali","aziende e reputazione","tradurre","Principi dichiarati con cui microTech confronta la reputazione dei collaboratori"
"power reset","riavvio forzato","assistenza tecnica","tradurre","Spegnimento e riaccensione completa del mobiGlas per risolvere malfunzionamenti"
"self-help terminal","terminale di servizio automatico","interfaccia e servizi","tradurre","Terminale che consente all'utente di svolgere autonomamente le operazioni"
"Second Life initiative","Second Life initiative","eventi e lore","mantenere","Nome canonico dell'iniziativa imperiale di Addison; preservare grafia e maiuscole per lore, guide e ricerca"
"Second Life Resource Drive","Second Life Resource Drive","eventi e lore","mantenere","Nome canonico della sezione del Diario e della campagna competitiva collegata alla Second Life initiative"
"Resource Drive","Resource Drive","eventi e missioni","mantenere","Nome breve della campagna; nei titoli in maiuscolo conservare RESOURCE DRIVE come nella sorgente"
"Contractor Liaison Officer","Responsabile dei rapporti con i collaboratori","aziende e contratti","tradurre","Qualifica usata nelle firme dei rappresentanti aziendali; forma inclusiva e coerente con le comunicazioni già approvate"
"heavy-duty tractor beam","raggio traente per carichi pesanti","carico e logistica","tradurre","Raggio traente adatto alla movimentazione dei grandi contenitori previsti dai contratti di trasporto"
"Marques","Marques","personaggi e lore","mantenere","Nome della rappresentante di MT Protection Services che segue i contratti di sicurezza microTech"
"MT Protection Services","MT Protection Services","organizzazioni e lore","mantenere","Nome canonico del servizio di sicurezza di microTech; preservare per reputazione, guide e ricerca"
"automated production facility","impianto di produzione automatizzato","missioni e sicurezza","tradurre","Struttura temporanea che produce merce di contrabbando durante i contratti di MT Protection Services"
"unauthorized terminal","terminale non autorizzato","missioni e sicurezza","tradurre","Terminale diverso dal chiosco di sicurezza previsto per la consegna della merce confiscata"
"Jorrit","Jorrit","personaggi e lore","mantenere","Nome invocato da Sam durante il ciclo di rigenerazione; identità e grafia non vanno interpretate"
"Different is good","Essere diversi è un bene","aziende e slogan","tradurre","Slogan microTech; tradurre il messaggio pubblicitario mantenendone la brevità assertiva"
"VI Specs","VI Specs","tecnologia e marchi","mantenere","Linea canonica di prodotti microTech; correggere eventuali minuscole della sorgente senza tradurre il marchio"
"Muse Simpod","Muse Simpod","tecnologia e marchi","mantenere","Nome canonico della capsula di simulazione microTech; nel testo comune simpod può restare minuscolo come nome della tecnologia"
"Lament","Lament","tecnologia e marchi","mantenere","Nome del processore grafico di nuova generazione installato nei simpod Muse"
"Restart","Restart","organizzazioni e lore","mantenere","Nome dei programmi benefici di microTech"
"Life, Love, Loss","Life, Love, Loss","opere e lore","mantenere","Titolo canonico della produzione teatrale che impiega gli oloproiettori microTech"
"Empire Today","Empire Today","media e lore","mantenere","Nome della testata che assegna il riconoscimento Planet of the Future"
"Planet of the Future","Planet of the Future","premi e lore","mantenere","Titolo del riconoscimento assegnato a microTech nel 2947 e nel 2949"
"The Commons","The Commons","luoghi e orientamento","mantenere","Nome canonico dello spazio pubblico verde di New Babbage; preservare articolo e maiuscole"
"Plaza","Plaza","luoghi e orientamento","mantenere","Nome della zona commerciale e della sua cupola a New Babbage"
"Wally's Bar","Wally's Bar","luoghi e orientamento","mantenere","Nome canonico del locale nella Promenade di New Babbage"
"Promenade","Promenade","luoghi e orientamento","mantenere","Nome canonico della zona di New Babbage che ospita Wally's Bar, Aparelli e Oza"
"Aparelli","Aparelli","negozi e marchi","mantenere","Nome canonico del negozio di moda di New Babbage"
"Oza","Oza","luoghi e orientamento","mantenere","Nome canonico del ristorante di New Babbage"
"The Nest","The Nest","luoghi e orientamento","mantenere","Nome canonico degli alloggi situati nell'Aspire Grand"
"MT MetroLoop","MT MetroLoop","trasporti e orientamento","mantenere","Nome canonico della rete di trasporto pubblico di New Babbage"
"New Babbage Interstellar Spaceport","New Babbage Interstellar Spaceport","luoghi e orientamento","mantenere","Nome canonico del cosmoporto; preservare per segnaletica, mappe e guide"
"Original Systems","Original Systems","aziende e lore","mantenere","Nome canonico dell'azienda di simulazioni; correggere la minuscola errata presente in alcune sorgenti"
"CenterMass","CenterMass","negozi e marchi","mantenere","Nome canonico del negozio di armi presente nella Plaza"
"Omega Pro","Omega Pro","negozi e marchi","mantenere","Nome canonico del negozio di componenti presente nella Plaza"
"Shubin Interstellar","Shubin Interstellar","aziende e lore","mantenere","Nome canonico del conglomerato minerario con sede a New Babbage"
"CureLife","CureLife","aziende e lore","mantenere","Nome canonico dell'azienda medica con sede a New Babbage"
"Blue Triangle","Blue Triangle","aziende e lore","mantenere","Nome canonico del produttore di avionica avanzata con sede a New Babbage"
"Brentworth Care Center","Brentworth Care Center","luoghi e orientamento","mantenere","Nome canonico dell'ospedale di New Babbage nell'Aspire Grand"
"Brentworth Care Centers","Brentworth Care Centers","aziende e lore","mantenere","Nome della rete sanitaria fondata dal dottor Jaleel Brentworth"
"BiotiCorp Limited","BiotiCorp Limited","aziende e lore","mantenere","Partner tecnologico sanitario dei Brentworth Care Centers"
"Ambulance Bay","Ambulance Bay","luoghi e orientamento","mantenere","Nome della baia ospedaliera chiamata negli annunci di emergenza"
"V.I.C.","V.I.C.","sanità e orientamento","mantenere","Identificatore ospedaliero non espanso nella sorgente; conservarlo senza interpretazioni"
"Surgery Suite","Surgery Suite","luoghi e orientamento","mantenere","Nome dell'area chirurgica chiamata negli annunci del Brentworth Care Center"
"Meditation Room","Meditation Room","luoghi e orientamento","mantenere","Nome coerente con la vocazione olistica del Brentworth Care Center; corregge il Mediation Room della prima metà dell'annuncio sorgente"
"Imaging Services","Imaging Services","luoghi e orientamento","mantenere","Nome del reparto diagnostico chiamato negli annunci ospedalieri"
"Recovery Ward","Recovery Ward","luoghi e orientamento","mantenere","Nome del reparto di recupero del Brentworth Care Center"
"D2-A19","D2-A19","identificatori ospedalieri","mantenere","Codice del carrello cercato dal personale di Imaging Services"
"The Council","The Council","organizzazioni e lore","mantenere","Nome canonico della gilda criminale; non confondere con il Consiglio istituzionale di Levski"
"Rough & Ready","Rough & Ready","organizzazioni e lore","mantenere","Nome canonico dell'organizzazione di Pyro"
"Interstellar Transport Guild","Interstellar Transport Guild","organizzazioni e lore","mantenere","Nome canonico della gilda interstellare dei trasporti"
"CFP","CFP","organizzazioni e lore","mantenere","Sigla usata nel parlato per Citizens for Prosperity; conservarla perché la battuta non la espande"
"Parker Terrell","Parker Terrell","personaggi e lore","mantenere","Nome del commentatore citato nelle teorie sulla rigenerazione"
"Cryo-Star","Cryo-Star","tecnologia e modelli","mantenere","Nome del modello di raffreddatore recuperato a Pyro"
"aloprat","aloprat","fauna e alimenti","mantenere","Nome della creatura consumata come alimento a Pyro; invariabile al plurale"
"Mercenary Guild","Mercenary Guild","organizzazioni e lore","mantenere","Nome canonico della gilda dei mercenari; preservare anche quando la sorgente usa la forma colloquiale merc guild"
"Prime","Prime","luoghi e orientamento","mantenere","Nome canonico della città di Terra citata come centro della scena musicale speed thrash"
"Addison","Addison","personaggi e lore","mantenere","Cognome dell'Imperator Laylani Addison quando la battuta usa soltanto la forma breve"
"scrapper","recuperatore","professioni","tradurre","Addetto al recupero di relitti e materiali; nei riferimenti al giocatore evitare forme marcate per genere"
"Effie","Effie","personaggi e lore","mantenere","Nome della comandante dei Frontier Fighters citata nei dialoghi ambientali"
"Weevil Eggs","Weevil Eggs","merci e contrabbando","mantenere","Nome riconoscibile della merce di contrabbando; correggere il weavil eggs errato della sorgente parlata"
"Orbituary","Orbituary","luoghi e orientamento","mantenere","Nome canonico del luogo scelto per uno scambio clandestino a Pyro"
"AR lens","lente RA","tecnologia indossabile","tradurre","Lente per realtà aumentata; usare la sigla italiana RA nel testo funzionale"
"VidPro","VidPro","aziende e tecnologia","mantenere","Nome proprio dell'azienda che sviluppa software per la valutazione delle interazioni sociali"
"Checkmate","Checkmate","luoghi e orientamento","mantenere","Nome canonico della stazione di Pyro e riferimento essenziale per mappe e guide"
"Ibrahim Sphere","Ibrahim Sphere","tecnologia medica e lore","mantenere","Designazione canonica della tecnologia che crea e conserva le impronte biologiche"
"Imprint Viability Score (IVS)","indice di vitalità dell'impronta (IVS)","tecnologia medica e lore","tradurre","Termine canonico della rigenerazione; nel parlato abbreviato rendere IVS come valore IVS"
"IVS","IVS","tecnologia medica e lore","mantenere","Sigla canonica di Imprint Viability Score; nel parlato usare valore IVS ed evitare la ridondanza indice IVS"
"Saga Datasystems","Saga Datasystems","aziende e tecnologia","mantenere","Grafia canonica dell'azienda produttrice di droni e sistemi informatici; corregge Saga DataSystems della battuta sorgente"
"Slicers","Slicers","organizzazioni e lore","mantenere","Nome della falsa banda usata dai Frontier Fighters durante gli attacchi contro Stanton; riferimento canonico di Save Stanton"
"BlacJac Security","BlacJac Security","organizzazioni e lore","mantenere","Nome canonico della società di sicurezza di ArcCorp; corregge BlacJak Security della battuta sorgente"
"Orison","Orison","luoghi e orientamento","mantenere","Nome canonico della città galleggiante di Crusader; preservare per mappe, guide e orientamento"
"Castra","Castra","sistemi e orientamento","mantenere","Nome canonico del sistema UEE visitato dal giovane viaggiatore; preservare per mappe e guide"
"Oya","Oya","sistemi e orientamento","mantenere","Nome canonico del sistema collegato a Castra; preservare per mappe e guide"
"Xi'an","Xi'an","specie e lore","mantenere","Nome canonico della specie e della relativa cultura; rispettare apostrofo e maiuscole"
"ArcCorp","ArcCorp","pianeti e aziende","mantenere","Nome canonico del pianeta-azienda e della relativa corporazione; rispettare la C maiuscola interna"
"Lorville","Lorville","luoghi e orientamento","mantenere","Nome canonico della città di Hurston; preservare per mappe, guide e orientamento"
"horseshoe crab","limulo","fauna","tradurre","Nome comune dell'animale terrestre citato in una falsa storia sulla rigenerazione"
"ASOP","ASOP","interfaccia e servizi","mantenere","Sigla canonica del sistema e dei terminali per la gestione e il richiamo delle navi; preservare per interfaccia e guide"
"Advos","agenti dell'Advocacy","organizzazioni e dialoghi","tradurre_nome_proprio","Forma colloquiale con cui i trasportatori indicano gli agenti dell'Advocacy; mantenere riconoscibile il nome canonico"
"Trevor","Trevor","personaggi e dialoghi","mantenere","Nome del trasportatore rivale che sottrae contratti al personaggio ambientale"
"Equivalency","Equivalency","istruzione e lore","mantenere","Nome canonico del titolo di istruzione secondaria riconosciuto nell'UEE; non confondere con la semplice equivalenza"
"Tilly","Tilly","personaggi e dialoghi","mantenere","Nome della nipote che consegue l'Equivalency nel dialogo ambientale"
"Admiral Bishop","Admiral Bishop","personaggi e lore","mantenere","Denominazione canonica dell'ammiraglio Ernst Bishop usata nel parlato; non applicare la traduzione scacchistica di Bishop"
"Green Imperial","Green Imperial","luoghi e lore","mantenere","Espansione canonica di Grim nel nome Grim HEX; conservarla per mantenere intatta l'etimologia"
"Invictus","Invictus","eventi e lore","mantenere","Forma breve canonica dell'Invictus Launch Week usata nei dialoghi"
"Whamburger","Whamburger","alimenti e marchi","mantenere","Nome canonico dell'hamburger venduto da Whammer's"
"skag","feccia","gergo e insulti","tradurre","Insulto rivolto a criminali o individui spregevoli; adattare grammaticalmente alla frase"
"sight adjuster","correttore di mira","armi e tecnologia","tradurre","Dispositivo che compensa la caduta del proiettile in base ai dati atmosferici"
"bullet drop","caduta del proiettile","armi e balistica","tradurre","Abbassamento della traiettoria del proiettile compensato dai sistemi di mira"
"Extractor","estrattore","estrazione e insediamenti","tradurre","Macchinario acquistato per sfruttare un giacimento di risorse"
"Fire Rats","Fire Rats","organizzazioni e lore","mantenere","Nome canonico del culto criminale di Pyro; preservare per lore e guide"
"Carafi Cube","Carafi Cube","alimenti e oggetti","mantenere","Nome canonico del cubo di gelatina nutritiva carafi; invariabile al plurale nel dialogo"
"Yela","Yela","lune e orientamento","mantenere","Nome canonico della luna di Crusader; preservare per mappe, guide e orientamento"
"Amelia Boyd","Amelia Boyd","personaggi e lore","mantenere","Nome canonico della leader dei Frontier Fighters; preservare per lore e guide"
"Terra","Terra","sistemi stellari e orientamento","mantenere","Nome canonico del sistema stellare; preservare per mappe, guide e orientamento"
"Teasa Spaceport","Teasa Spaceport","luoghi e orientamento","mantenere","Nome canonico dello spazioporto di Lorville; preservare esattamente per mappe e guide"
"Torpedo Burrito","Torpedo Burrito","aziende e alimenti","mantenere","Nome canonico della catena di ristorazione e del relativo marchio; preservare invariato"
"regen package","pacchetto di rigenerazione","tecnologia medica e dialoghi","tradurre","Piano commerciale associato ai servizi di rigenerazione; eventuali livelli generici si traducono"
"Fire Rat","Fire Rat","organizzazioni e lore","mantenere","Singolare canonico di un membro dei Fire Rats; preservare per lore e guide"
"Jimmy Dengo","Jimmy Dengo","personaggi e dialoghi","mantenere","Nome proprio citato nelle voci ambientali di Pyro; preservare invariato"
"chuan","chuan","alimenti e lore","mantenere","Nome canonico del cibo servito in spiedini; mantenere la minuscola nel testo discorsivo"
"the Prophet","il Prophet","religione e lore","mantenere","Figura canonica venerata dai Fire Rats; preservare Prophet per riconoscibilità con lore e guide"
"Dominator","Dominator","armamenti e modelli","mantenere","Forma breve del missile Talon Dominator II; preservare come nome di modello"
"Banu","Banu","specie e lore","mantenere","Nome canonico della specie, della cultura e dei relativi sistemi; preservare invariato"
"Pyro III","Pyro III","pianeti e orientamento","mantenere","Designazione canonica del pianeta noto come Bloom; preservare per mappe e guide"
"Bloom","Bloom","pianeti e orientamento","mantenere","Nome canonico di Pyro III; preservare per mappe, guide e orientamento"
"Hurston","Hurston","pianeti, aziende e orientamento","mantenere","Nome canonico del pianeta e della famiglia-azienda; preservare per mappe, guide e lore"
"Tev","Tev","specie e parlato","mantenere","Forma gergale canonica per una persona Tevarin; preservare nel parlato"
"Branaugh","Branaugh","sistemi stellari e orientamento","mantenere","Nome canonico del sistema stellare; preservare per mappe, guide e lore"
"Lost Squad","Lost Squad","opere e lore","mantenere","Titolo canonico della serie ambientata durante la guerra contro i Vanduul; preservare invariato"
"Vega","Vega","sistemi stellari e lore","mantenere","Nome canonico del sistema teatro dell'attacco Vanduul; preservare per mappe, guide e lore"
"Nyx","Nyx","sistemi stellari e orientamento","mantenere","Nome canonico del sistema stellare; preservare per mappe, guide e orientamento"
"Aaron Halo","Aaron Halo","cinture asteroidali e orientamento","mantenere","Nome canonico della cintura asteroidale di Stanton; preservare per mappe e guide"
"Gal Dougan","Gal Dougan","personaggi, musica e lore","mantenere","Nome canonico dell'artista associata a Grim HEX; preservare invariato"
"The Day Ahead","The Day Ahead","opere, musica e lore","mantenere","Titolo canonico dell'opera di Gal Dougan; preservare invariato"
"New Babbage","New Babbage","città e orientamento","mantenere","Nome canonico della città di microTech; preservare per mappe e guide"
"Pico","Pico","personaggi e mascotte","mantenere","Forma breve canonica di Pico the Penguin; preservare invariata"
"Finley","Finley","personaggi e mascotte","mantenere","Forma breve canonica di Finley the Stormwal; preservare invariata"
"Cutter","Cutter","veicoli Drake e slang criminale","contestuale","Con la maiuscola è il modello navale canonico Drake e resta invariato; il raro cutter minuscolo riferito a una persona indica invece un esecutore clandestino e si rende tagliagole"
"Adir","Adir","lune e orientamento","mantenere","Nome canonico della luna di Pyro V; preservare per mappe, guide e orientamento"
"Headhunter","Headhunter","fazioni e lore","mantenere","Singolare canonico di un membro degli Headhunters; preservare invariato"
"Drop Kings","Drop Kings","fazioni e lore","mantenere","Nome canonico della banda rivale degli Headhunters; preservare per lore e guide"
"stims","stimolanti","medicina e parlato","tradurre","Forma colloquiale per le sostanze stimolanti; rendere in italiano nel dialogo comune"
"magic hour","ora d'oro","fotografia e dialoghi","tradurre","Finestra di luce favorevole alla fotografia; evitare l'anglicismo nel testo comune"
"municipal works","impianti municipali","infrastrutture e luoghi generici","tradurre","Zona tecnica urbana con impianti e servizi pubblici; non è un nome proprio"
"UEES War Hammer","UEES War Hammer","navi militari e lore","mantenere","Nome canonico completo della Javelin visitabile durante Invictus; preservare per lore e guide"
"War Hammer","War Hammer","navi militari e lore","mantenere","Forma breve canonica del nome UEES War Hammer; preservare invariata"
"mess hall","sala mensa","navi e ambienti di bordo","tradurre","Locale di bordo destinato ai pasti e alla socialità dell'equipaggio"
"mess","mensa","navi e ambienti di bordo","tradurre","Forma breve per la sala mensa nel contesto navale"
"Lt.","tenente","gradi militari e dialoghi","tradurre","Abbreviazione di Lieutenant; davanti al nome usare il grado italiano con minuscola sintattica"
"Aria Reilly","Aria Reilly","personaggi e lore","mantenere","Nome canonico della pilota citata durante la visita alla War Hammer"
"Captain Medcalf","capitano Medcalf","personaggi e gradi militari","mantenere_nome","Preservare Medcalf; tradurre il grado e usare la minuscola secondo la sintassi italiana"
"XO","comandante in seconda","gradi e ruoli di bordo","tradurre","Executive officer della nave; nel parlato italiano rendere il ruolo per esteso"
"Leading Starman","Starman scelto","gradi militari e lore","traduzione_parziale","Preservare Starman come titolo canonico e tradurre la progressione del grado per chiarezza gerarchica"
"Detmer","Detmer","personaggi e lore","mantenere","Nome canonico del Leading Starman che conduce la visita alle camerate della War Hammer"
"barracks","camerate","navi e ambienti di bordo","tradurre","Alloggi collettivi dell'equipaggio a bordo di una nave militare"
"hot bunking","sistema della branda calda","navi e procedure di bordo","tradurre","Condivisione della stessa branda tra membri dell'equipaggio assegnati a turni opposti"
"CO","superiore","gradi e ruoli di bordo","tradurre","Commanding officer; nel parlato informale di Detmer rendere il rapporto gerarchico in modo naturale"
"personal effects","effetti personali","navi ed equipaggiamento","tradurre","Oggetti privati riposti negli spazi assegnati alla branda"
"Lt. Commander","tenente comandante","gradi militari e dialoghi","tradurre","Grado della UEE Navy; davanti al nome usare la minuscola sintattica italiana"
"Aldeman","Aldeman","personaggi e lore","mantenere","Nome canonico della tenente comandante responsabile delle torrette della War Hammer"
"turret complement","reparto torrette","navi e organizzazione di bordo","tradurre","Insieme delle torrette e del personale addetto sotto la responsabilità di Aldeman"
"battle group","gruppo da battaglia","organizzazione militare","tradurre","Formazione navale alla quale è assegnata un'unità militare"
"hostile elements","unità ostili","combattimento e rapporti militari","tradurre","Velivoli o altre forze nemiche conteggiate durante uno scontro"
"safetied turret","torretta messa in sicurezza","armamenti e procedure di bordo","tradurre","Torretta resa inoffensiva mediante disattivazione delle armi per consentirne la visita"
"active military vessel","nave militare in servizio attivo","navi e terminologia militare","tradurre","Unità operativa aperta eccezionalmente alle visite durante Invictus"
"unauthorized areas","zone ad accesso vietato","navi e sicurezza","tradurre","Parti della nave non aperte ai visitatori; rendere come divieto di accesso, non come aree non autorizzate"
"get my juices flowing","farmi salire l'adrenalina","dialoghi di combattimento","tradurre","Espressione figurata di entusiasmo per lo scontro; evitare calchi sui fluidi"
"watch the paint","occhio alla vernice","dialoghi di combattimento e collisioni","tradurre","Rimprovero sarcastico dopo una collisione con la nave"
"Shields down","Scudi abbattuti","comunicazioni di combattimento","tradurre","Avviso o esclamazione sulla perdita completa degli scudi; adattare maiuscole e punteggiatura alla battuta"
"punter","idiota","dialoghi di combattimento e insulti","tradurre","Insulto sprezzante della pilota fuorilegge; usare una forma valida per qualsiasi genere del giocatore"
"light up like Luminalia","far brillare come a Luminalia","dialoghi di combattimento e lore","tradurre","Gioco di parole tra il colpire ripetutamente e le luci della festività; preservare Luminalia"
"shooting crabs in a crate","sparare ai granchi in una cassa","dialoghi e modi di dire del Verse","tradurre","Modo di dire diegetico per un bersaglio facilissimo; preservare l'immagine propria dell'universo"
"get ghosted","farsi ammazzare","dialoghi criminali e combattimento","tradurre","Gergo che indica venire eliminati o uccisi; nel combattimento diretto preferire una resa esplicita e naturale"
"vac","vuoto","dialoghi spaziali e gergo","tradurre","Forma colloquiale abbreviata di vacuum; in minacce e riferimenti all'esposizione rendere come vuoto"
